Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
erling larsen,3,1.67,66.67%,0.00%,0:09:41,2
ethnicity,3,1.33,33.33%,50.00%,0:00:20,0
Evans Hall,3,7.67,100.00%,0.00%,0:06:54,6.33
faculty directory,3,3,33.33%,11.11%,0:02:08,0.33
french,3,2,33.33%,33.33%,0:06:42,6
goodhue hall,3,4.33,66.67%,15.38%,0:02:35,2
harry tate,3,2.67,33.33%,25.00%,0:00:33,0
india,3,4,33.33%,16.67%,0:01:23,1
james dow,3,3.33,0.00%,30.00%,0:16:54,2
laird,3,4.67,33.33%,14.29%,0:07:12,3.33
Mai Fete,3,5.67,66.67%,5.88%,0:00:58,1.33
Map of campus,3,2.67,33.33%,12.50%,0:05:53,0.67
maps,3,2.67,33.33%,25.00%,0:10:22,3
margaret dow,3,3.67,33.33%,18.18%,0:04:06,0
men's athletics,3,1,33.33%,66.67%,0:01:59,0
morgan fellow,3,3.33,33.33%,30.00%,0:02:14,0
moving,3,1.67,0.00%,60.00%,0:00:53,0.67
opening convocation,3,2.33,33.33%,28.57%,0:08:18,0
physical education,3,4.33,66.67%,15.38%,0:07:17,2
picnic,3,8.33,0.00%,16.00%,0:05:37,5.67
protest,3,4.33,0.00%,23.08%,0:08:15,3.67
riggs,3,1.33,33.33%,50.00%,0:12:11,0.33
room draw,3,4.33,0.00%,38.46%,0:03:13,1.33
russ petricka,3,1.67,66.67%,20.00%,0:00:08,0
sayles,3,4,0.00%,8.33%,0:18:09,2
seccombe,3,2.67,0.00%,25.00%,0:02:02,1.33
Simenstad,3,3.33,66.67%,0.00%,0:03:09,1.33
singing knights,3,7.33,66.67%,4.55%,0:01:26,1.67
soccer,3,12.33,33.33%,0.00%,0:16:30,6.33
sports,3,5.67,33.33%,11.76%,0:03:15,1
strong,3,2.33,0.00%,57.14%,0:01:05,2
tennis court,3,3.33,0.00%,20.00%,0:08:09,1.67
thorstein veblen,3,5,66.67%,0.00%,0:04:18,1.67
track and field,3,4.33,0.00%,7.69%,0:04:15,6.33
transcripts,3,5.33,33.33%,12.50%,0:12:57,12.67
transportation,3,2,66.67%,16.67%,0:00:47,0
twigonometry,3,1.67,33.33%,20.00%,0:00:50,1.67
william carleton,3,5.33,0.00%,25.00%,0:10:24,1.67
willis,3,3.67,0.00%,18.18%,0:03:24,4
Willis,3,3,0.00%,22.22%,0:06:04,3
wind turbine,3,1.67,0.00%,60.00%,0:01:55,0.33
women's athletics,3,2.67,0.00%,37.50%,0:00:41,0
women's soccer,3,4.67,66.67%,0.00%,0:04:12,2.67
womens softball,3,1,0.00%,100.00%,0:00:14,0
"""Navigating the Nineties""",2,1,100.00%,0.00%,0:00:00,0
1883 football,2,3,0.00%,16.67%,0:00:16,0.5
1915,2,1.5,100.00%,0.00%,0:00:52,0
1942,2,4.5,0.00%,33.33%,0:14:55,10
1957,2,1.5,100.00%,0.00%,0:00:49,1.5
2/1/88,2,1,0.00%,100.00%,0:00:06,0
1992,2,1,0.00%,100.00%,0:00:18,0
1/21/98,2,2,0.00%,50.00%,0:09:43,2.5
2/1/98,2,1,0.00%,50.00%,0:06:13,0.5
5/12/98,2,3.5,50.00%,57.14%,0:01:53,0
2002,2,13.5,50.00%,18.52%,0:18:25,4
8/5/11,2,2.5,100.00%,0.00%,0:05:23,0
10/2/12,2,2,0.00%,50.00%,0:02:01,0
10/3/12,2,2,50.00%,25.00%,0:03:38,0
