Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
language and dining center,4,1,66.67%: 0.00%,20.00%: 100.00%,0:00:15,0
food,4,1.75,0.00%,57.14%,0:06:30,0.5
ray jacobson,4,3,0.00%: 100.00%: 0.00%,50.00%: 0.00%: 100.00%,0:04:36,0
Hill of Three Oaks,4,2,100.00%: 0.00%: 0.00%,25.00%: 50.00%: 33.33%,0:01:26,0
verbrugghen,4,1,50.00%: 100.00%: 0.00%,25.00%: 0.00%: 100.00%,0:00:30,1
Town houses,4,1,0.00%: 0.00%: 0.00%,66.67%: 50.00%: 100.00%,0:00:18,0
The immigrants' guide to Minnesota,4,1,100.00%: 100.00%: 0.00%,0.00%: 0.00%: 100.00%,0:00:06,0
diet prowe,4,3.25,50.00%,15.38%,0:11:11,0.75
chemistry,4,4,66.67%: 0.00%,12.50%: 100.00%,0:03:23,0
kirchheimer,4,1,50.00%: 0.00%: 0.00%,0.00%: 100.00%: 50.00%,0:04:14,0
james meredith,4,1,50.00%: 0.00%,25.00%: 100.00%,0:01:25,0
Horace Rice Goodhue,4,4,0.00%: 100.00%: 100.00%,28.57%: 0.00%: 0.00%,0:02:28,1
Elizabeth Cowling,4,2,0.00%: 0.00%: 0.00%: 100.00%,33.33%: 25.00%: 100.00%: 0.00%,0:05:28,1
Water Tower,4,2,50.00%: 50.00%,33.33%: 33.33%,0:02:21,1
Turkey,4,2,0.00%: 0.00%: 0.00%,36.36%: 50.00%: 20.00%,0:02:35,1
Olin,4,1,0.00%: 0.00%,33.33%: 7.69%,0:06:40,1
view of carleton,4,2,0.00%: 0.00%: 0.00%,0.00%: 50.00%: 100.00%,0:06:10,4
Keith Harrison,4,1,33.33%: 0.00%,20.00%: 50.00%,0:01:20,1
Don Rawitsch,4,1,0.00%: 0.00%,60.00%: 100.00%,0:03:21,0
black at carleton,4,1.5,50.00%,33.33%,0:05:03,0.75
China,3,1,100.00%: 100.00%,0.00%: 0.00%,0:00:12,0
orchestra,3,4,66.67%,16.67%,0:02:26,5.67
economics,3,3.67,66.67%,9.09%,0:01:20,0.33
controversy,3,2,0.00%: 0.00%: 100.00%,100.00%: 100.00%: 0.00%,0:01:10,0
army,3,3.33,0.00%,10.00%,0:00:34,4
teaching,3,3,100.00%: 100.00%,0.00%: 0.00%,0:04:18,0
harry tate,3,2.67,33.33%,25.00%,0:00:33,0
Maxwell,3,4,50.00%: 0.00%,10.00%: 25.00%,0:05:28,5
manuscript,3,2,66.67%,16.67%,0:03:46,0.33
schmidt,3,2,0.00%: 0.00%: 0.00%,100.00%: 50.00%: 25.00%,0:00:24,1
dope books,3,2.33,100.00%,0.00%,0:00:08,0
band,3,2,0.00%: 100.00%: 0.00%,20.00%: 0.00%: 100.00%,0:02:12,0
Margaret J. Evans,3,6,0.00%: 0.00%,33.33%: 0.00%,0:02:14,5
choir,3,3,0.00%: 0.00%,10.00%: 50.00%,0:14:47,6
dining hall,3,2.33,0.00%,14.29%,0:07:02,1.33
Freshmen,3,2.67,0.00%,25.00%,0:01:52,2
Ebony II,3,2,100.00%: 0.00%,0.00%: 0.00%,0:04:11,7
radio,3,3.33,0.00%,40.00%,0:01:55,2.67
stadium,3,3,33.33%,11.11%,0:01:02,2.67
Vick,3,1,0.00%: 0.00%,100.00%: 0.00%,0:00:07,0
Eisenhower,3,4,0.00%: 0.00%,0.00%: 0.00%,0:09:42,3
programs,3,1.33,0.00%,75.00%,0:03:41,1
myra brown,3,1,50.00%: 0.00%,50.00%: 100.00%,0:00:08,0
Charles M. Goodsell,3,2,0.00%: 0.00%,50.00%: 100.00%,0:09:48,0
stork retirement,3,2,50.00%: 0.00%,33.33%: 100.00%,0:02:33,0
robert morrison,3,1,0.00%: 0.00%: 100.00%,100.00%: 50.00%: 50.00%,0:00:39,0
lloyd johnson,3,1,33.33%,66.67%,0:02:10,0
Skinner Memorial Chapel,3,6,50.00%: 0.00%,11.11%: 18.18%,0:08:27,7
tennis,3,3,50.00%: 0.00%,10.00%: 100.00%,0:00:28,0
Intercultural Affairs,3,2,0.00%: 0.00%: 0.00%,100.00%: 20.00%: 50.00%,0:16:41,1
teaching assistant,3,1,0.00%: 100.00%,28.57%: 0.00%,0:04:02,0
culver,3,5,100.00%: 0.00%,10.00%: 100.00%,0:07:20,0
affairs proposal,3,1,0.00%: 0.00%: 0.00%,33.33%: 100.00%: 100.00%,0:00:11,0
dance,3,3,50.00%: 0.00%,10.00%: 100.00%,0:01:24,1
Nutting,3,2,100.00%: 0.00%,0.00%: 33.33%,0:00:25,1
bonfire,3,1.33,33.33%,50.00%,0:02:38,3.33
uniform,3,1.33,33.33%,50.00%,0:00:16,1.33
myers,3,6,50.00%: 100.00%,10.00%: 12.50%,0:14:25,3
ian barbour,3,1,50.00%: 0.00%,33.33%: 100.00%,0:00:27,0
Cold war,3,1,50.00%: 100.00%,20.00%: 50.00%,0:00:13,0
sovik,3,1,50.00%: 0.00%,50.00%: 100.00%,0:00:17,0
library addition,3,2,50.00%: 100.00%,33.33%: 0.00%,0:00:09,0
cookie house,3,1,33.33%,66.67%,0:00:11,0
John Nason,3,3,0.00%: 0.00%,12.50%: 50.00%,0:07:26,0
candace moses,3,2.67,33.33%,25.00%,0:01:15,0
earl neil,3,7.67,66.67%,13.04%,0:13:13,2.33
Broomball,3,1,0.00%: 0.00%,100.00%: 100.00%,0:00:22,0
paul n. myers,3,1,0.00%: 0.00%: 0.00%,100.00%: 100.00%: 100.00%,0:00:28,0
ernest ling,3,1,0.00%: 100.00%,100.00%: 0.00%,0:00:08,0
missions,3,1,50.00%: 0.00%,33.33%: 100.00%,0:00:30,0
lyman,3,2,33.33%,33.33%,0:09:05,0.33
oden,3,4,100.00%: 0.00%,0.00%: 100.00%,0:09:30,0
photos,3,1,100.00%: 0.00%,9.09%: 50.00%,0:01:20,1
hughes,3,1,0.00%: 0.00%,40.00%: 50.00%,0:05:37,0
riggs,3,1.33,33.33%,50.00%,0:12:11,0.33
jack goldfeather,3,3,0.00%: 100.00%: 0.00%,0.00%: 0.00%: 0.00%,0:00:21,1
elizabeth luedtke,3,3.67,33.33%,9.09%,0:00:42,1
esaki,3,1,0.00%,100.00%,0:00:15,0
Tuomi,3,3,0.00%: 0.00%,12.50%: 0.00%,0:02:07,1
uninvited company,3,5.33,33.33%,18.75%,0:04:12,2
Japanese Garden,3,6,0.00%: 0.00%,33.33%: 8.33%,0:20:25,10
Strike,3,2,50.00%: 0.00%,18.18%: 25.00%,0:02:01,5
directory,3,2,100.00%: 0.00%: 100.00%,0.00%: 33.33%: 50.00%,0:00:22,0
acting,3,3,0.00%: 100.00%: 0.00%,50.00%: 25.00%: 33.33%,0:00:17,0
james scoville,3,1.67,33.33%,40.00%,0:00:34,0.67
pine hill,3,2,50.00%: 0.00%,50.00%: 25.00%,0:01:30,0
laird william,3,2,50.00%: 0.00%,12.50%: 100.00%,0:18:44,5
house,3,6,0.00%: 0.00%,5.56%: 25.00%,0:11:38,0
Oral Histories,3,7,0.00%: 0.00%,0.00%: 7.14%,0:20:34,0
botany,3,1,0.00%: 0.00%,33.33%: 0.00%,0:00:35,1
sports information,3,2,33.33%,33.33%,0:06:58,0.33
treasurer,3,1,0.00%: 0.00%,50.00%: 100.00%,0:10:11,0
Emannuelle,3,1,0.00%: 0.00%: 100.00%,100.00%: 100.00%: 0.00%,0:00:21,0
moses,3,2,100.00%,16.67%,0:00:18,0
Women's Liberation,3,1,0.00%: 0.00%: 0.00%,100.00%: 100.00%: 100.00%,0:00:17,0
Dormitory,3,2,0.00%: 0.00%,33.33%: 50.00%,0:00:35,0
Down with social science,3,2,0.00%: 100.00%: 0.00%,100.00%: 0.00%: 0.00%,0:02:18,0
harriett sheridan,3,2,0.00%: 0.00%: 0.00%,100.00%: 25.00%: 100.00%,0:00:18,0
Carleton archives,3,2,0.00%: 0.00%: 100.00%,50.00%: 100.00%: 0.00%,0:02:22,1
Map of campus,3,2.67,33.33%,12.50%,0:05:53,0.67
cameron margaret bell,3,4,50.00%: 0.00%,5.88%: 14.29%,0:03:07,0
