Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
catagories,5,1.8,0.00%,11.11%,0:00:35,2.4
caucasian,5,1.6,20.00%,50.00%,0:06:18,0.8
central records,5,1.8,20.00%,33.33%,0:02:48,2
charlotte willard,5,5,20.00%,16.00%,0:13:20,0.8
chemistry,5,6,20.00%,16.67%,0:09:24,1.8
cliff clark,5,2.6,0.00%,38.46%,0:11:41,0.6
cmc,5,1.6,0.00%,50.00%,0:03:44,3.6
comput,5,3.4,20.00%,23.53%,0:23:21,4.6
departmental review,5,2.2,20.00%,36.36%,0:15:15,2.6
directory,5,2,40.00%,30.00%,0:04:39,0
exhibit,5,2,0.00%,60.00%,0:01:20,0
field day,5,2.8,20.00%,28.57%,0:04:56,2.4
financial statements,5,2,20.00%,40.00%,0:03:38,0
frisbee,5,3.2,20.00%,12.50%,0:04:07,2.8
gay,5,5.4,20.00%,44.44%,0:13:42,2
goodhue hall,5,5.6,40.00%,10.71%,0:05:43,3.4
gridley hall,5,5.6,20.00%,14.29%,0:07:12,3.6
isabella watson,5,4.8,0.00%,12.50%,0:08:22,7.4
KARL,5,2.4,0.00%,50.00%,0:04:00,2
laird,5,6.4,40.00%,9.38%,0:06:23,4.6
lyman b. sperry,5,1.8,80.00%,0.00%,0:00:42,1.8
miscellany,5,4.2,20.00%,19.05%,0:05:35,1.8
Nordic,5,2.2,0.00%,27.27%,0:02:52,1.6
observatory,5,6.2,0.00%,16.13%,0:07:47,6
oden,5,3.6,60.00%,11.11%,0:11:45,0.2
olin,5,2.6,20.00%,15.38%,0:01:24,1.4
orchestra,5,2.6,20.00%,46.15%,0:04:36,1
paul wellstone,5,2,20.00%,30.00%,0:02:22,1.8
payne,5,2.6,0.00%,38.46%,0:05:28,1.2
phenix,5,3.6,20.00%,27.78%,0:06:19,4.2
pine hill,5,1.4,20.00%,71.43%,0:05:24,1
plays,5,4.4,0.00%,22.73%,0:01:31,2.4
postcards,5,2.4,20.00%,41.67%,0:07:57,0.2
protest,5,4,0.00%,25.00%,0:09:23,3.2
ray phillips,5,1.4,60.00%,14.29%,0:05:30,1
religion,5,1.6,20.00%,37.50%,0:03:38,0.6
Schott,5,2.6,60.00%,15.38%,0:10:55,4.4
science,5,6.2,20.00%,12.90%,0:03:47,4.4
scoville interior,5,3.6,0.00%,33.33%,0:06:03,3.4
security,5,4,40.00%,15.00%,0:11:25,0.2
sivaslian,5,2.4,40.00%,25.00%,0:01:08,1.4
soccer,5,8.4,20.00%,4.76%,0:11:17,6.2
soth,5,1.4,20.00%,42.86%,0:06:23,1.2
topical file,5,1.2,40.00%,33.33%,0:07:46,0.8
van bergen,5,2.8,20.00%,42.86%,0:03:34,0.4
viewbook,5,2.2,40.00%,18.18%,0:01:56,0.8
ward lewis,5,3.6,80.00%,5.56%,0:06:47,0
watson,5,3.2,0.00%,31.25%,0:02:35,1.8
whittemore,5,1.6,20.00%,50.00%,0:03:00,0.2
william carleton,5,4,0.00%,30.00%,0:12:01,1.6
women basketbal,5,3,60.00%,6.67%,0:00:23,2
women basketball,5,4.8,20.00%,16.67%,0:04:14,1
ymca,5,2.8,40.00%,50.00%,0:04:43,0.6
13832,4,2.25,0.00%,55.56%,0:02:37,0.25
158525,4,1,0.00%,100.00%,0:00:47,0.25
11/11/88,4,5.75,25.00%,21.74%,0:02:07,0
2/1/89,4,1,0.00%,100.00%,0:00:37,0.25
2001,4,6.5,25.00%,26.92%,0:12:50,4.75
12/21/11,4,2.75,25.00%,45.45%,0:13:43,0.75
20130123_T-shirts,4,3,0.00%,8.33%,0:06:47,6.25
2015-06,4,6.5,50.00%,11.54%,0:03:11,1
48679,4,1.5,25.00%,66.67%,0:05:46,1.5
58680,4,1,0.00%,100.00%,0:00:14,0
alumni,4,5.5,0.00%,22.73%,0:03:33,0
architech,4,1,0.00%,100.00%,0:00:17,0
archive,4,5,0.00%,25.00%,0:20:45,2
athletic,4,4,0.00%,37.50%,0:13:40,3.25
bike,4,3.25,0.00%,46.15%,0:05:40,0.75
biography,4,2,25.00%,37.50%,0:01:32,0
black students,4,2.25,0.00%,55.56%,0:01:40,1
burton hall,4,2.75,0.00%,36.36%,0:01:29,1
campus directory,4,1.5,25.00%,50.00%,0:03:27,0
carleton,4,7.25,0.00%,13.79%,0:02:17,2.25
