Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Flood Canon River,1,1,100.00%,0.00%,0:00:00,0,0
"Folder .011: Washington Ball, 1928/29",1,1,0.00%,100.00%,0:00:19,3,0
Football Bonfire,1,4,0.00%,25.00%,0:02:48,2,0
Football Captains,1,5,100.00%,0.00%,0:07:34,3,0
Foreign,1,2,0.00%,50.00%,0:02:18,5,0
Foreign Student Carleton,1,4,0.00%,0.00%,0:01:42,4,0
Forum,1,2,0.00%,0.00%,0:01:00,1,0
Fossil,1,1,0.00%,0.00%,0:19:15,3,0
Fossum,1,1,0.00%,100.00%,0:20:36,0,0
Foundational Support,1,1,0.00%,100.00%,0:00:05,0,0
Founders Court,1,4,0.00%,25.00%,0:17:13,0,0
Franc Cousens Gage,1,1,100.00%,0.00%,0:00:00,0,0
France Claims Carleton Students,1,1,0.00%,100.00%,0:12:50,3,0
France Ocs,1,1,0.00%,100.00%,0:00:07,0,0
France Off-Campus,1,1,100.00%,0.00%,0:00:00,0,0
Frances Cousens,1,1,0.00%,100.00%,0:00:29,0,0
Frank Stiers,1,1,100.00%,0.00%,0:00:00,0,0
Franklin Littell,1,5,0.00%,20.00%,0:04:48,0,0
Fred Easter,1,2,0.00%,50.00%,0:02:37,0,0
Fred Rogers,1,5,100.00%,0.00%,0:02:00,2,0
Frederick D Stratton,1,5,0.00%,20.00%,0:38:11,1,0
Frederick W Greve,1,1,0.00%,100.00%,0:00:13,0,0
Free Speech,1,2,100.00%,0.00%,0:00:16,0,0
French Cinema,1,1,100.00%,0.00%,0:00:00,0,0
Friends,1,2,0.00%,50.00%,0:01:32,1,0
Fukuoka,1,1,0.00%,100.00%,0:00:09,0,0
Fun,1,2,0.00%,50.00%,0:00:36,0,0
Fundraising,1,5,0.00%,20.00%,0:02:11,0,0
Gandhi,1,1,0.00%,100.00%,0:00:19,0,0
Garden,1,2,0.00%,50.00%,0:02:21,1,0
Gargoyles,1,1,0.00%,100.00%,0:00:14,0,0
Gay Liberation,1,1,0.00%,100.00%,0:00:20,0,0
Gender And Sexuality Center,1,4,0.00%,25.00%,0:38:05,1,0
Gender Dorms,1,1,0.00%,100.00%,0:00:21,0,0
Gender Housing,1,1,100.00%,0.00%,0:00:00,0,0
Gender Leadership,1,1,100.00%,0.00%,0:00:00,0,0
Geology,1,3,100.00%,0.00%,0:00:20,0,0
Geophysical,1,1,0.00%,100.00%,0:00:20,0,0
George Field,1,4,0.00%,0.00%,0:00:43,1,0
George Lincoln Rockwell,1,6,0.00%,0.00%,0:02:43,1,0
Getchell,1,1,100.00%,0.00%,0:00:00,0,0
Getting To,1,3,0.00%,33.33%,0:10:53,7,0
Gifts,1,2,100.00%,0.00%,0:01:09,0,0
Gilmore,1,1,100.00%,0.00%,0:00:00,0,0
Glass Window,1,1,100.00%,0.00%,0:00:00,0,0
Glasser,1,1,0.00%,100.00%,0:01:07,0,0
Goat Trophy,1,2,0.00%,50.00%,0:00:55,0,0
Golden Bough,1,1,0.00%,100.00%,0:00:38,0,0
Golf,1,9,0.00%,11.11%,0:04:49,6,0
Gonzalez,1,1,0.00%,100.00%,0:00:28,0,0
Good,1,9,0.00%,11.11%,0:04:19,3,0
Goodhue Bigelow,1,4,100.00%,0.00%,0:01:13,0,0
Goodhue Dining,1,2,0.00%,50.00%,0:01:05,0,0
Goodsell Drawing,1,3,0.00%,33.33%,0:05:08,4,0
Goofy,1,1,0.00%,100.00%,0:00:07,0,0
Gosh,1,1,0.00%,100.00%,0:00:10,0,0
Goshko,1,2,100.00%,0.00%,0:00:18,0,0
Gould Chapel,1,1,0.00%,100.00%,0:03:00,0,0
Gould Jeep,1,2,0.00%,50.00%,0:09:20,5,0
Gould Preach,1,2,0.00%,50.00%,0:00:30,0,0
Gould Skinner,1,1,0.00%,100.00%,0:00:36,0,0
Government Documents,1,2,0.00%,50.00%,0:00:51,0,0
Govoni,1,1,0.00%,100.00%,0:03:53,0,0
Graduates,1,2,0.00%,100.00%,0:09:53,0,0
Graham Kimble,1,1,100.00%,0.00%,0:00:00,0,0
Granrud,1,1,0.00%,100.00%,0:00:51,0,0
Greezy,1,1,100.00%,0.00%,0:00:00,0,0
Greve,1,3,0.00%,33.33%,0:01:40,0,0
Gridley Demolition,1,4,0.00%,0.00%,0:00:56,3,0
Gridley Floor Plan,1,4,100.00%,0.00%,0:06:14,0,0
Grill,1,2,100.00%,0.00%,0:07:11,0,0
Group,1,10,0.00%,10.00%,0:02:14,2,0
Group Plan,1,2,100.00%,0.00%,0:00:03,0,0
Gsc,1,2,0.00%,0.00%,0:00:45,1,0
Guinea Pig,1,4,100.00%,0.00%,0:00:19,0,0
Guitar,1,2,0.00%,50.00%,0:00:13,0,0
Gymnastics,1,4,0.00%,0.00%,0:01:01,4,0
Hall Director,1,6,0.00%,16.67%,0:01:38,0,0
Hamlet,1,3,0.00%,33.33%,0:01:36,3,0
Handbook,1,5,0.00%,20.00%,0:01:16,0,0
Handicapped,1,2,100.00%,0.00%,0:00:45,0,0
Hanging,1,1,0.00%,100.00%,0:00:19,0,0
Harold,1,2,0.00%,0.00%,0:02:27,8,0
Harriet,1,1,0.00%,100.00%,0:06:16,1,0
Harriet Chapin,1,1,0.00%,100.00%,0:01:10,4,0
Harriet Skinner,1,6,0.00%,16.67%,0:12:10,5,0
Harvey Stork,1,1,0.00%,100.00%,0:00:23,0,0
Haskins,1,3,0.00%,0.00%,0:01:56,1,0
Hazing,1,2,0.00%,50.00%,0:00:51,1,0
Heidelberg,1,2,100.00%,0.00%,0:00:07,0,0
Hendee,1,1,100.00%,0.00%,0:00:00,0,0
Henrickson House,1,1,0.00%,100.00%,0:00:19,0,0
Henry Hutchinson,1,1,0.00%,100.00%,0:00:33,0,0
Henry Riggs,1,1,0.00%,100.00%,0:04:25,0,0
High Power Laboratory,1,1,100.00%,0.00%,0:00:00,0,0
High School Admissions,1,1,0.00%,100.00%,0:00:19,0,0
High School Type,1,2,0.00%,50.00%,0:00:27,0,0
Hill,1,2,0.00%,50.00%,0:02:28,5,0
Hill Of Three Oaks,1,2,0.00%,0.00%,0:05:49,4,0
History,1,1,0.00%,100.00%,0:00:48,2,0
History Comps,1,2,100.00%,0.00%,0:00:04,0,0
History Department,1,2,0.00%,50.00%,0:00:47,0,0
Holi,1,1,100.00%,0.00%,0:00:00,0,0
Hollyer,1,2,100.00%,0.00%,0:00:18,2,0
Homecoming Bonfire,1,1,100.00%,0.00%,0:00:00,0,0
Homecoming Pep Banned,1,1,0.00%,100.00%,0:00:08,0,0
Homer Robinson,1,2,100.00%,0.00%,0:00:06,0,0
Homos,1,2,100.00%,50.00%,0:00:34,0,0
Honeywell,1,4,0.00%,25.00%,0:00:48,0,0
Honorary Degree Citations,1,2,0.00%,50.00%,0:00:46,0,0
Honors,1,4,0.00%,50.00%,0:34:58,0,0
Honors Convo,1,5,0.00%,20.00%,0:02:07,1,0
Honors Convocation,1,3,0.00%,33.33%,0:23:04,0,0
Horace Rice Goodhue,1,2,100.00%,0.00%,0:00:17,0,0
Hour Of Power,1,1,0.00%,100.00%,0:00:08,0,0
Housing,1,1,0.00%,100.00%,0:02:17,0,0
Hughes,1,3,0.00%,33.33%,0:07:20,0,0
Hulings Hall Opening,1,2,0.00%,50.00%,0:00:13,0,0
"Hulings, Kaemer",1,1,100.00%,0.00%,0:00:00,0,0
Ibm Dedication,1,1,0.00%,100.00%,0:00:54,1,0
Ice,1,1,0.00%,0.00%,0:00:40,1,0
Identities,1,2,0.00%,50.00%,0:00:22,0,0
In Technos,1,1,0.00%,100.00%,0:00:22,0,0
Inauguration,1,2,0.00%,50.00%,0:00:20,0,0
Indian Citizenship,1,1,100.00%,0.00%,0:00:00,0,0
Indian Food,1,1,0.00%,100.00%,0:00:08,0,0
Indoor Track,1,2,0.00%,50.00%,0:04:25,0,0
Inside Carleton,1,2,100.00%,0.00%,0:06:03,0,0
Inspirational Movement,1,5,0.00%,0.00%,0:59:28,9,0
Institutional Research,1,4,0.00%,25.00%,0:06:44,0,0
Instruction,1,1,0.00%,100.00%,0:02:22,0,0
Instruction Arb,1,1,0.00%,100.00%,0:00:16,0,0
Integrative,1,1,100.00%,0.00%,0:00:00,0,0
International Student,1,1,0.00%,100.00%,0:00:41,0,0
Internet,1,1,100.00%,0.00%,0:00:00,0,0
Internic,1,2,0.00%,50.00%,0:01:08,0,0
Interpretive Dance,1,1,0.00%,100.00%,0:00:03,0,0
Interview First Black Student,1,1,0.00%,100.00%,0:00:22,0,0
Introduce,1,4,0.00%,50.00%,0:00:35,0,0
Island,1,2,0.00%,50.00%,0:00:13,0,0
Israel,1,1,0.00%,100.00%,0:00:26,0,0
Ito,1,2,100.00%,0.00%,0:00:38,0,0
Jack Goldfeather,1,21,100.00%,0.00%,0:07:34,6,0
Jack Woodruff,1,2,0.00%,50.00%,0:00:46,0,0
Jacobson,1,1,0.00%,0.00%,0:17:06,3,0
James Magnuson,1,2,0.00%,50.00%,0:00:44,0,0
Japanese Garden,1,2,0.00%,0.00%,0:26:30,1,0
Jeep,1,1,0.00%,100.00%,0:00:06,0,0
Jennifer Hantho,1,5,100.00%,0.00%,0:01:44,7,0
Jerome Lonnes,1,2,0.00%,0.00%,0:00:22,1,0
Jesse Weston,1,1,100.00%,0.00%,0:00:00,0,0
Jessica Lartigue,1,2,100.00%,0.00%,0:00:06,0,0
Jew,1,3,100.00%,0.00%,0:00:36,0,0
Jewelnel,1,1,0.00%,100.00%,0:02:19,0,0
Jewish,1,3,0.00%,33.33%,0:02:46,0,0
John Dyer-Bennett,1,1,0.00%,100.00%,0:02:09,0,0
John Earl,1,6,0.00%,33.33%,0:08:14,6,0
John Elof,1,1,100.00%,0.00%,0:00:00,0,0
John Henry Gray,1,8,0.00%,12.50%,0:20:19,0,0
John Myers,1,3,100.00%,0.00%,0:01:14,0,0
John R. Woodruff,1,1,0.00%,0.00%,0:03:24,2,0
John Scofield,1,1,0.00%,100.00%,0:00:48,0,0
Jordan Smith,1,3,100.00%,0.00%,0:00:23,0,0
Joseph,1,1,0.00%,100.00%,0:08:31,0,0
Joseph Sue,1,1,0.00%,100.00%,0:26:29,0,0
Joyce A Hughes,1,1,0.00%,0.00%,0:01:18,3,0
Judaism,1,1,0.00%,100.00%,0:00:11,0,0
Julia Strand,1,3,0.00%,33.33%,0:01:05,0,0
Kabuki,1,1,0.00%,100.00%,0:02:17,0,0
Kalochorus,1,1,0.00%,0.00%,0:01:05,6,0
Kappa,1,2,0.00%,50.00%,0:00:27,1,0
Karen Eischens,1,6,100.00%,0.00%,0:02:54,0,0
Karl,1,1,0.00%,100.00%,0:03:24,4,0
Kathryn Sheriff,1,1,0.00%,100.00%,0:01:35,1,0
Keeping Faith,1,1,0.00%,100.00%,0:05:09,2,0
Keg,1,1,0.00%,100.00%,0:00:23,0,0
Keith Williams,1,1,0.00%,100.00%,0:00:19,0,0
Kellogg,1,3,0.00%,33.33%,0:09:07,3,0
Kenneth Heacock,1,3,100.00%,0.00%,0:09:14,0,0
Kenny G,1,1,0.00%,100.00%,0:00:03,0,0
Kennyd,1,1,0.00%,100.00%,0:00:03,0,0
Kfmx,1,1,0.00%,100.00%,0:01:54,0,0
Kim Schiller,1,1,100.00%,0.00%,0:00:00,0,0
Kimble,1,2,0.00%,50.00%,0:00:23,1,0
Kistler,1,1,0.00%,100.00%,0:03:20,0,0
Kitchen,1,3,0.00%,33.33%,0:01:19,2,0
Knight Homecoming,1,5,100.00%,0.00%,0:00:27,0,0
Knight Mascot,1,1,0.00%,100.00%,0:00:09,0,0
Knights 40 Years,1,1,100.00%,0.00%,0:00:00,0,0
Knights Recording,1,5,0.00%,20.00%,0:00:31,0,0
Koetters,1,1,100.00%,0.00%,0:00:00,0,0
Kop Or Kxoxp,1,1,100.00%,0.00%,0:00:00,0,0
Korea,1,2,100.00%,0.00%,0:00:37,0,0
Krlx,1,3,0.00%,33.33%,0:02:36,3,0
Kueffner,1,2,100.00%,0.00%,0:00:14,0,0
Lab,1,4,0.00%,25.00%,0:03:22,4,0
Labyrinth,1,1,0.00%,100.00%,0:00:12,0,0
Lady's Tennis,1,1,0.00%,100.00%,0:00:05,0,0
Lafayette,1,2,100.00%,0.00%,0:00:15,0,0
Laird Bell Papers,1,2,0.00%,50.00%,0:00:42,0,0
Laird Hall,1,2,0.00%,0.00%,0:00:13,1,0
Lake,1,4,0.00%,25.00%,0:00:30,0,0
Lamberty,1,1,0.00%,100.00%,0:00:12,0,0
Landscape Architecture,1,3,0.00%,33.33%,0:03:42,0,0
Laptop,1,1,0.00%,100.00%,0:00:19,0,0
Large Foundation,1,1,0.00%,100.00%,0:00:17,0,0
Larry,1,2,0.00%,50.00%,0:00:20,1,0
Late Night Breakfast,1,2,0.00%,50.00%,0:00:43,0,0
Laugh,1,2,0.00%,50.00%,0:04:06,0,0
Laura B. Cross,1,4,0.00%,25.00%,0:18:28,0,0
Lawn Tennis,1,1,100.00%,0.00%,0:00:00,0,0
Lawsuit,1,3,0.00%,33.33%,0:01:33,0,0
Ldc Construction,1,1,0.00%,100.00%,0:01:53,0,0
Learning Assistant,1,1,100.00%,0.00%,0:00:00,0,0
Legend,1,2,0.00%,50.00%,0:00:38,0,0
Leighton Hall Print Shop,1,1,0.00%,100.00%,0:00:22,0,0
Lens,1,3,0.00%,33.33%,0:00:58,0,0
Leona Miller,1,3,0.00%,0.00%,0:04:37,9,0
Leonard Young,1,3,100.00%,0.00%,0:00:47,0,0
Leoung,1,1,0.00%,100.00%,0:00:25,0,0
Lesbian,1,2,100.00%,0.00%,0:00:15,0,0
Leslie Jefferson,1,5,100.00%,0.00%,0:02:45,1,0
Lesson,1,1,0.00%,100.00%,0:00:20,0,0
Letters,1,1,0.00%,0.00%,0:00:14,1,0
Lewis Newman,1,2,100.00%,0.00%,0:00:02,0,0
Lewis Portrait,1,1,0.00%,100.00%,0:00:13,0,0
Lewis Publications,1,3,0.00%,33.33%,0:09:47,3,0
Lewis Steve,1,2,0.00%,50.00%,0:00:18,1,0
Liang,1,2,0.00%,50.00%,0:00:30,0,0
Library Annual Report,1,2,100.00%,0.00%,0:00:10,0,0
Library First,1,1,0.00%,100.00%,0:00:37,0,0
Library Interior,1,1,0.00%,100.00%,0:00:54,0,0
Library Remodeling,1,1,0.00%,100.00%,0:00:58,3,0
Library Window,1,1,0.00%,100.00%,0:00:29,0,0
Life Style Of Greatness,1,2,100.00%,0.00%,0:00:43,0,0
Lilac,1,1,0.00%,100.00%,0:00:28,0,0
Liquor,1,2,0.00%,50.00%,0:21:56,14,0
Lit,1,2,0.00%,100.00%,0:00:31,1,0
Literary,1,5,0.00%,20.00%,0:06:18,0,0
Little Theater,1,1,0.00%,100.00%,0:01:07,0,0
Lloyd M. Mcbride,1,2,100.00%,0.00%,0:00:12,0,0
Lnt,1,1,0.00%,100.00%,0:00:17,0,0
Loosely Speaking,1,5,0.00%,20.00%,0:02:44,0,0
Lord,1,2,0.00%,0.00%,0:00:20,2,0
Louis Headley,1,3,100.00%,0.00%,0:00:50,0,0
Love,1,2,0.00%,0.00%,0:04:56,1,0
Ltv,1,1,0.00%,100.00%,0:00:04,0,0
Lucchesi,1,1,0.00%,100.00%,0:00:10,0,0
Mac,1,2,0.00%,50.00%,0:00:28,0,0
Mag,1,1,0.00%,100.00%,0:00:54,0,0
Mag035,1,3,0.00%,33.33%,0:01:30,0,0
Magic,1,1,0.00%,0.00%,0:00:13,2,0
Magic Lab,1,1,0.00%,100.00%,0:00:48,1,0
Mai,1,2,0.00%,50.00%,0:00:36,0,0
Mai Fete Video,1,3,0.00%,33.33%,0:05:54,0,0
Major Declaration,1,1,0.00%,100.00%,0:00:26,0,0
Mao,1,1,0.00%,100.00%,0:00:07,0,0
Margaret J. Evans Hall,1,4,0.00%,25.00%,0:00:40,0,0
Margret Dietz,1,1,100.00%,0.00%,0:00:00,0,0
Marines,1,1,0.00%,100.00%,0:00:07,0,0
Marion Leidner,1,3,0.00%,0.00%,0:02:57,1,0
Mark Williams,1,1,0.00%,100.00%,0:00:20,0,0
Marshmallow,1,2,0.00%,0.00%,0:01:00,10,0
Martha,1,3,100.00%,0.00%,0:00:29,0,0
Martha Weidner,1,3,0.00%,33.33%,0:00:31,0,0
Martha Williams,1,2,100.00%,0.00%,0:00:15,0,0
Mary Easter,1,2,0.00%,0.00%,0:00:11,1,0
Masur,1,1,100.00%,0.00%,0:00:00,0,0
Math,1,1,0.00%,100.00%,0:00:11,0,0
Mathematics Astronomy Computer Project,1,1,0.00%,100.00%,0:00:08,0,0
Max Margulis,1,2,100.00%,0.00%,0:00:08,0,0
Mcan,1,1,0.00%,100.00%,0:00:19,0,0
Mel Taube,1,2,0.00%,0.00%,0:13:14,15,0
Mel Taube Photo,1,1,0.00%,100.00%,0:00:46,0,0
Men Dorm,1,2,0.00%,50.00%,0:01:02,0,0
Men Track And Field,1,2,0.00%,50.00%,0:01:24,0,0
Menagerie,1,1,0.00%,0.00%,0:25:41,61,0
Mens,1,1,100.00%,0.00%,0:00:00,0,0
Messenger,1,4,100.00%,0.00%,0:00:36,0,0
Methodist House,1,3,0.00%,0.00%,0:02:18,16,0
Metric,1,2,0.00%,50.00%,0:14:54,2,0
Middle School Utility,1,1,0.00%,100.00%,0:00:38,0,0
Midsummer,1,3,0.00%,33.33%,0:01:15,0,0
Midterm,1,1,0.00%,100.00%,0:00:14,0,0
Midwest League,1,2,100.00%,0.00%,0:00:14,0,0
Mighty Ducks,1,1,0.00%,100.00%,0:00:38,0,0
Mill Towns Trail,1,1,0.00%,100.00%,0:00:11,0,0
Mill Trail,1,1,0.00%,0.00%,0:00:04,1,0
Mini Bald Spot,1,1,0.00%,100.00%,0:00:14,0,0
Minister,1,1,0.00%,100.00%,0:00:14,0,0
Minneapolis And Strike,1,1,100.00%,0.00%,0:00:00,0,0
Minnesota Regional,1,1,0.00%,100.00%,0:00:20,0,0
Minority,1,1,0.00%,100.00%,0:00:34,0,0
Miron Skinner,1,2,100.00%,0.00%,0:00:04,0,0
Missing,1,2,100.00%,0.00%,0:00:42,0,0
Mixed Race,1,1,0.00%,100.00%,0:00:08,0,0
Mock Wedding,1,2,0.00%,50.00%,0:06:40,0,0
Monday Club,1,1,100.00%,0.00%,0:00:00,0,0
Monnot,1,8,0.00%,12.50%,0:11:23,1,0
Mormon,1,1,100.00%,0.00%,0:00:00,0,0
Mormon And Blacks,1,1,0.00%,100.00%,0:00:10,0,0
Moses Door,1,1,0.00%,100.00%,0:05:34,2,0
Motion Picture,1,2,100.00%,0.00%,0:00:10,0,0
Motion Picture Industry,1,1,0.00%,100.00%,0:00:11,0,0
Mouay,1,2,100.00%,50.00%,0:00:10,0,0
Mouay2015,1,1,0.00%,100.00%,0:00:05,0,0
Move,1,2,0.00%,50.00%,0:01:13,0,0
Move In,1,6,0.00%,16.67%,0:06:38,4,0
Move-In Day,1,1,0.00%,100.00%,0:00:05,0,0
Mpeg,1,1,0.00%,100.00%,0:00:18,0,0
Mrs Skinner,1,2,0.00%,50.00%,0:00:59,0,0
Mrs.Evans 1903,1,1,100.00%,0.00%,0:00:00,0,0
Mth,1,1,0.00%,100.00%,0:00:07,0,0
Mudd,1,4,0.00%,25.00%,0:04:02,0,0
Mudd Hall,1,4,0.00%,50.00%,0:39:39,2,0
Multicultural Affairs,1,3,100.00%,0.00%,0:00:29,0,0
Mumbai,1,1,0.00%,100.00%,0:00:04,0,0
Murray,1,5,0.00%,20.00%,0:01:35,1,0
Muser,1,1,0.00%,100.00%,0:00:03,0,0
Music Drama Center,1,13,0.00%,0.00%,0:19:36,8,0
Musical,1,2,0.00%,50.00%,0:00:41,0,0
Musser Construction,1,1,0.00%,100.00%,0:03:05,0,0
Musser Floor Plan,1,1,0.00%,100.00%,0:00:09,0,0
Myers Hall,1,8,100.00%,12.50%,0:19:01,5,0
Nadia,1,1,0.00%,100.00%,0:01:24,0,0
Naegele,1,1,100.00%,0.00%,0:00:00,0,0
Nakamura Hisayo,1,1,100.00%,0.00%,0:00:00,0,0
Naked,1,1,0.00%,100.00%,0:00:41,0,0
Nason Chapel,1,1,0.00%,100.00%,0:00:10,0,0
Nason Collection,1,1,0.00%,100.00%,0:00:26,0,0
Nason Portrait,1,1,0.00%,100.00%,0:00:49,1,0
Nason Skinner,1,1,0.00%,100.00%,0:00:28,0,0
Nat Wilson,1,1,0.00%,100.00%,0:00:16,0,0
National Championship,1,1,100.00%,0.00%,0:00:00,0,0
Natural History,1,1,0.00%,100.00%,0:24:55,0,0
Navy,1,1,0.00%,100.00%,0:00:39,1,0
Ncaa,1,1,100.00%,0.00%,0:00:00,0,0
Neckfoot,1,1,0.00%,100.00%,0:00:07,0,0
Negro,1,2,0.00%,50.00%,0:00:09,0,0
Neighbour,1,1,100.00%,0.00%,0:00:00,0,0
Nelson,1,1,100.00%,0.00%,0:00:00,0,0
Neuroscience,1,7,100.00%,0.00%,0:03:43,14,0
New Gymnasium,1,4,100.00%,0.00%,0:01:24,2,0
Newspaper,1,1,0.00%,0.00%,0:01:07,4,0
Newsreel,1,4,100.00%,0.00%,0:00:25,0,0
No Fidelity,1,2,0.00%,50.00%,0:00:52,0,0
Noises,1,1,0.00%,100.00%,0:00:14,1,0
Norman Frost,1,1,0.00%,100.00%,0:12:18,2,0
Normand Patton,1,1,0.00%,0.00%,0:00:08,1,0
Northern States Power Co.,1,2,0.00%,50.00%,0:01:15,0,0
Northfield,1,2,0.00%,50.00%,0:46:42,15,0
Northfield College,1,5,0.00%,20.00%,0:06:41,8,0
Northfield Gay Liberation Front,1,4,0.00%,25.00%,0:07:59,2,0
Nose Gay,1,1,0.00%,100.00%,0:00:59,0,0
Nsw,1,8,0.00%,25.00%,0:02:47,2,0
Nude,1,1,0.00%,100.00%,0:00:05,0,0
Nursery,1,2,0.00%,100.00%,0:00:21,0,0
O'Konek,1,2,100.00%,0.00%,0:00:05,0,0
Oac,1,5,0.00%,20.00%,0:01:57,0,0
Obama,1,7,100.00%,0.00%,0:01:37,0,0
Obituaries,1,1,100.00%,0.00%,0:00:00,0,0
Off Campus,1,1,100.00%,0.00%,0:00:00,0,0
Off Campus Hous,1,1,0.00%,100.00%,0:00:42,0,0
Off Our Backs,1,1,100.00%,0.00%,0:00:00,0,0
Office Of Intercultural And International Life,1,2,100.00%,0.00%,0:00:34,0,0
Officers Board Members List,1,2,0.00%,0.00%,0:03:14,2,0
Ohp,1,1,0.00%,100.00%,0:07:23,2,0
Oiil,1,4,0.00%,25.00%,0:00:53,0,0
Olin Foundation,1,1,100.00%,0.00%,0:00:00,0,0
Olin Hall,1,6,0.00%,33.33%,0:04:22,4,0
Olin Hall Of Chemistry,1,3,0.00%,33.33%,0:00:11,0,0
Olin Hall Yamasaki,1,4,0.00%,25.00%,0:01:03,0,0
Oral History Collection,1,1,0.00%,100.00%,0:00:23,0,0
Outdoor,1,2,0.00%,0.00%,0:00:17,1,0
Outreach,1,5,0.00%,20.00%,0:01:31,3,0
Painting,1,1,0.00%,100.00%,0:00:46,0,0
Palmer Alvarez-Blanco,1,2,0.00%,50.00%,0:01:24,0,0
Paris Program,1,2,0.00%,50.00%,0:01:27,0,0
Parrish,1,3,0.00%,0.00%,0:00:28,1,0
Parrot,1,3,0.00%,33.33%,0:01:18,1,0
Parties,1,13,0.00%,23.08%,0:12:48,2,0
Pat,1,1,0.00%,100.00%,0:01:23,0,0
Patton,1,6,0.00%,16.67%,0:01:11,4,0
Pau France,1,1,100.00%,0.00%,0:00:00,0,0
Pau Termination,1,1,0.00%,100.00%,0:00:07,0,0
Payne,1,2,0.00%,0.00%,0:00:26,1,0
Pdf,1,3,100.00%,0.00%,0:18:09,0,0
Pear Dept. Review,1,7,100.00%,14.29%,0:01:38,0,0
Perlman,1,1,0.00%,0.00%,0:02:39,1,0
Perry Mason,1,1,0.00%,0.00%,0:00:15,1,0
Persons,1,3,0.00%,66.67%,0:02:56,0,0
Perversity,1,1,0.00%,100.00%,0:00:11,0,0
Peter Stanley,1,3,100.00%,0.00%,0:00:53,0,0
Pets,1,1,0.00%,100.00%,0:00:08,0,0
Pettingill,1,5,0.00%,0.00%,0:02:35,2,0
Phi,1,4,0.00%,25.00%,0:05:47,5,0
Phi Beta Kappa,1,5,100.00%,0.00%,0:02:13,1,0
Phleger,1,1,0.00%,0.00%,0:00:09,1,0
Photograph,1,3,0.00%,66.67%,0:42:15,6,0
Photograph Of Mel Taube,1,1,0.00%,100.00%,0:00:25,0,0
Photos,1,9,100.00%,0.00%,0:02:39,1,0
Physics Comps,1,1,0.00%,100.00%,0:00:10,0,0
Pierce Butler,1,2,0.00%,50.00%,0:00:49,1,0
Plaid,1,1,0.00%,100.00%,0:00:07,0,0
Plan,1,7,0.00%,14.29%,0:03:02,4,0
Planting A Tree,1,2,0.00%,50.00%,0:02:44,2,0
Players,1,5,0.00%,20.00%,0:03:28,0,0
Plow,1,1,0.00%,100.00%,0:00:17,0,0
Pof4,1,2,0.00%,50.00%,0:08:57,0,0
Police Blotter,1,1,100.00%,0.00%,0:00:00,0,0
Political Orientation,1,3,0.00%,33.33%,0:00:30,0,0
Political Prisoners,1,1,0.00%,100.00%,0:00:11,0,0
Population Ecology,1,2,0.00%,50.00%,0:00:27,0,0
Porter Davis,1,1,0.00%,100.00%,0:00:09,0,0
Portfolio,1,2,0.00%,50.00%,0:00:48,0,0
Poskanzer Purim,1,1,0.00%,100.00%,0:00:23,0,0
Postcard Photos,1,2,0.00%,50.00%,0:00:33,0,0
Pozkanzer Chapel,1,1,0.00%,100.00%,0:00:05,0,0
Prairie,1,3,0.00%,33.33%,0:00:48,0,0
Prairie Creek,1,1,100.00%,0.00%,0:00:00,0,0
Pranking,1,1,0.00%,100.00%,0:00:09,0,0
Prayer,1,2,0.00%,50.00%,0:00:14,0,0
Preacher,1,1,0.00%,100.00%,0:00:07,0,0
Premiere,1,1,0.00%,0.00%,0:03:03,12,0
President Cowling,1,2,100.00%,0.00%,0:00:35,0,0
President Lewis,1,2,0.00%,50.00%,0:00:23,0,0
President Of Faculty,1,1,0.00%,100.00%,0:00:25,0,0
President Strong,1,1,0.00%,100.00%,0:00:28,0,0
Previous Hall Of Fame Recipients,1,1,100.00%,0.00%,0:00:00,0,0
Priest,1,2,0.00%,50.00%,0:00:16,1,0
Prince,1,3,100.00%,0.00%,0:00:07,0,0
Prince David,1,2,0.00%,50.00%,0:01:04,2,0
Prineas,1,1,100.00%,0.00%,0:00:00,0,0
Print Shop,1,1,0.00%,0.00%,0:00:21,1,0
Priore,1,2,100.00%,0.00%,0:00:35,2,0
Prisoners,1,1,0.00%,100.00%,0:00:10,0,0
Private Public,1,2,0.00%,50.00%,0:01:12,0,0
Processional,1,5,0.00%,60.00%,0:01:20,0,0
Proctor,1,2,0.00%,50.00%,0:01:35,1,0
Production,1,2,0.00%,50.00%,0:00:09,0,0
Professor,1,6,0.00%,16.67%,0:01:46,0,0
Programs,1,2,0.00%,50.00%,0:00:38,0,0
Promo,1,3,0.00%,33.33%,0:01:00,0,0
Prospective,1,1,0.00%,100.00%,0:00:11,0,0
Prospective Film,1,1,0.00%,100.00%,0:00:07,0,0
Psychology,1,1,100.00%,0.00%,0:00:00,0,0
Publications Miscellany,1,1,0.00%,100.00%,0:00:10,0,0
Pursuit Of Excellence,1,10,100.00%,0.00%,0:02:03,0,0
Puzak,1,1,100.00%,0.00%,0:00:00,0,0
Puzak Arboretum,1,2,0.00%,100.00%,0:00:25,0,0
Puzak Endowment,1,1,0.00%,100.00%,0:04:04,0,0
Qiguang Zhao,1,3,0.00%,0.00%,0:00:59,2,0
Quality Of Life,1,1,0.00%,100.00%,0:00:29,0,0
