Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Grow,3,1.33,0.00%,100.00%,0:07:51,1.67,1
Harriet Sheridan,3,2,0.00%,75.00%,0:00:38,0.33,2
India,3,4,33.33%,16.67%,0:01:23,1,0
Investment Committee,3,6.33,0.00%,20.59%,0:04:50,5.33,1
James Dow,3,3.33,0.00%,30.00%,0:16:54,2,0
Keith Harrison,3,1.67,0.00%,38.89%,0:01:07,0.67,1
Lagniappe,3,2,33.33%,33.33%,0:00:32,0,1
Laird,3,4.67,33.33%,14.29%,0:07:12,3.33,0
Larry Gould,3,1.67,0.00%,16.67%,0:01:53,4.67,1
Lenny Dee,3,5,0.00%,28.70%,0:10:39,2,2
Library Addition,3,2,66.67%,22.22%,0:00:09,0,1
Maps,3,2.67,33.33%,25.00%,0:10:22,3,0
Margaret Dow,3,3.67,33.33%,18.18%,0:04:06,0,0
Margaret Evans,3,1.67,0.00%,44.44%,0:05:31,4.67,1
Men's Tennis,3,4,66.67%,33.33%,0:01:41,0.33,1
Moving,3,1.67,0.00%,60.00%,0:00:53,0.67,0
Mp4,3,1,0.00%,100.00%,0:01:12,4.33,1
Myra Brown,3,1.67,33.33%,66.67%,0:00:09,0,1
Noon News Bulletin,3,1.67,33.33%,44.45%,0:00:23,0,1
Ocs,3,3,33.33%,19.05%,0:01:19,0.33,1
Palestinians,3,2,33.33%,61.11%,0:00:34,0,2
Pear Department,3,6.33,0.00%,16.19%,0:04:49,0,1
Philip Phenix,3,2.33,100.00%,0.00%,0:01:30,0.33,1
Picnic,3,8.33,0.00%,16.00%,0:05:37,5.67,0
Pine Hill Village,3,4.67,66.67%,5.55%,0:02:54,0,1
Postage Stamp Prairie,3,1.67,0.00%,66.67%,0:02:55,13.67,1
Posters,3,6,33.33%,20.83%,0:12:00,1,1
President's Office,3,5,33.33%,14.81%,0:04:08,2.33,1
Protest,3,4.33,0.00%,23.08%,0:08:15,3.67,0
Riggs,3,1.33,33.33%,50.00%,0:12:11,0.33,0
Rockefeller,3,2.33,100.00%,0.00%,0:00:16,0,1
Room Draw,3,4.33,0.00%,38.46%,0:03:13,1.33,0
Sallmon,3,1.33,0.00%,77.78%,0:02:26,0.67,1
Sayles,3,4,0.00%,8.33%,0:18:09,2,0
Severance Hall,3,5.33,0.00%,21.94%,0:03:01,4.33,2
Simenstad,3,3.33,66.67%,0.00%,0:03:09,1.33,0
Singing Knights,3,7.33,66.67%,4.55%,0:01:26,1.67,0
Skiing,3,3,0.00%,41.67%,0:02:38,2,1
Skis,3,1,0.00%,100.00%,0:01:04,0,1
Soccer,3,12.33,33.33%,0.00%,0:16:30,6.33,0
Soldier,3,2.33,0.00%,43.33%,0:00:23,0.33,1
Special Events,3,1.33,0.00%,77.78%,0:02:39,2.33,1
Sports,3,5.67,33.33%,11.76%,0:03:15,1,0
Stork,3,38.33,33.33%,1.61%,0:07:14,11,1
Stork Memorial Forest,3,1.67,0.00%,44.44%,0:01:21,1.67,2
Stork Retirement,3,2.33,33.33%,55.55%,0:03:20,0.67,1
Streaking,3,1,0.00%,100.00%,0:00:21,0,2
Strong,3,2.33,0.00%,57.14%,0:01:05,2,0
Syllabi,3,3.67,0.00%,33.33%,0:07:58,1.67,2
Technology,3,6.67,33.33%,16.67%,0:03:25,4.33,1
The Tunnels,3,2,0.00%,16.67%,0:00:19,1.33,2
Tim Vick,3,1.67,66.67%,16.67%,0:05:26,0,1
Transportation,3,2,66.67%,16.67%,0:00:47,0,0
Treasurer's Reports,3,1.33,33.33%,66.67%,0:00:13,0,2
Tuomi,3,3.33,0.00%,8.33%,0:03:26,1.67,1
Twigonometry,3,1.67,33.33%,20.00%,0:00:50,1.67,0
Vick,3,1,0.00%,66.67%,0:00:08,0.33,1
Waggoner,3,1,0.00%,33.33%,0:00:46,1,2
Watson Hall,3,4,0.00%,13.33%,0:01:40,1.33,1
Whittemore,3,1.67,33.33%,44.45%,0:04:12,0.33,1
Women's Swimming,3,1.33,0.00%,83.33%,0:00:44,1.67,2
World War Ii,3,2.33,0.00%,44.44%,0:04:05,0.33,1
African-American Students,2,2.5,50.00%,50.00%,0:01:38,0,1
Alcohol,2,2,50.00%,25.00%,0:00:21,0,0
Alex Robinson,2,2.5,50.00%,0.00%,0:01:05,0.5,0
Alumni,2,2.5,0.00%,40.00%,0:00:29,0,0
Anatolia,2,1.5,0.00%,100.00%,0:04:28,0,0
Animals,2,1.5,50.00%,25.00%,0:00:08,0,1
Annual Sports Files,2,1.5,0.00%,75.00%,0:00:33,0,1
Archery,2,2,0.00%,25.00%,0:00:43,1,0
Architectural Plan,2,2,0.00%,50.00%,0:00:16,1.5,1
Artifacts,2,3.5,0.00%,42.86%,0:02:42,0,0
Attendance,2,1.5,50.00%,50.00%,0:00:09,0,1
Band,2,4,0.00%,25.00%,0:03:15,0,0
Bdag,2,3,0.00%,33.33%,0:07:41,1.5,0
Bicycle,2,6,50.00%,0.00%,0:10:01,4.5,1
Biology Courses,2,1.5,0.00%,75.00%,0:01:11,2,1
Black Hole,2,1.5,50.00%,0.00%,0:00:13,0.5,0
Blind,2,7,0.00%,14.29%,0:01:55,0.5,0
Book,2,8,0.00%,12.50%,0:04:10,4,0
Breaking Ground,2,1,100.00%,0.00%,0:00:00,0,0
Brecht,2,2,0.00%,50.00%,0:00:13,0,0
Building Plans,2,1,0.00%,100.00%,0:00:09,0,1
Buildings,2,6.5,0.00%,18.05%,0:06:50,0.5,1
Cambridge ,2,3,50.00%,50.00%,0:01:19,0,1
Campus Arial,2,5,0.00%,50.00%,0:17:30,3.5,1
Campus Plan,2,3.5,50.00%,14.29%,0:00:57,0.5,0
Cams,2,1.5,50.00%,33.33%,0:00:52,1,0
Capehart,2,1,0.00%,100.00%,0:00:17,0,1
Carleton Chapter Phi Beta,2,6,50.00%,50.00%,0:04:56,0,1
Carleton Forest,2,1.5,50.00%,50.00%,0:14:10,0,1
Carleton Hall Of Fame,2,1,50.00%,50.00%,0:00:08,0,1
Carleton Players,2,6.5,0.00%,15.38%,0:13:20,0.5,0
Carleton Student Association,2,6,0.00%,17.14%,0:04:51,2.5,1
Categories,2,1.5,0.00%,75.00%,0:00:36,0,1
Caucasian,2,1.5,0.00%,66.67%,0:09:30,1.5,0
Cave,2,7,50.00%,0.00%,0:01:46,5,0
Centennial,2,2,50.00%,0.00%,0:00:30,1,1
Chalk,2,2,0.00%,50.00%,0:00:38,0.5,0
Chapel Attendance,2,1,0.00%,100.00%,0:04:13,0,1
Chapel Organ,2,2,100.00%,0.00%,0:00:53,0,0
Chaplain,2,2,0.00%,66.66%,0:00:19,0,1
Charles Goodsell,2,2,50.00%,0.00%,0:00:05,0.5,1
Charles M. Thompson,2,1,0.00%,100.00%,0:01:29,0,0
Cheerboys,2,1,0.00%,100.00%,0:00:20,0,0
Chili Nights,2,2,0.00%,66.66%,0:00:57,1,1
China,2,2.5,50.00%,20.00%,0:01:11,0.5,0
Cinema And Media Studies,2,1,0.00%,100.00%,0:00:19,0,1
Cirp,2,1,50.00%,50.00%,0:00:06,0,1
Cmc,2,2,0.00%,50.00%,0:01:29,1,1
Co-Op,2,2.5,0.00%,40.00%,0:07:14,0,0
Common Reading,2,1.5,0.00%,75.00%,0:04:08,1,1
Comps Archive,2,1,100.00%,0.00%,0:00:00,0,1
Comput,2,4,0.00%,25.00%,0:02:12,2.5,0
Computer Activities Committee,2,1.5,50.00%,33.33%,0:01:50,0,0
Computer Lab,2,1.5,0.00%,75.00%,0:00:31,0.5,1
Computer Science,2,1.5,50.00%,0.00%,0:00:07,0.5,0
Convocation,2,1,50.00%,50.00%,0:09:58,1.5,0
Cowling Papers,2,2.5,50.00%,20.00%,0:06:55,0,0
Cowling Recreation Center,2,1.5,0.00%,75.00%,0:00:58,1,1
Critical Perspectives,2,1,50.00%,50.00%,0:00:11,0,1
Cujokra,2,4.5,0.00%,0.00%,0:01:18,4,1
Curfew,2,1,0.00%,100.00%,0:00:41,0,0
Dance,2,4,50.00%,12.50%,0:10:08,0.5,0
David Diehl,2,1,0.00%,100.00%,0:00:04,0,1
Dean Lodge,2,3.5,0.00%,42.86%,0:00:31,2,0
Dean Of Students,2,1.5,50.00%,25.00%,0:07:28,0,1
Dean's List,2,2,0.00%,66.66%,0:08:06,0,1
Department Of Biography,2,1,0.00%,100.00%,0:00:19,0,1
Departmental Review,2,2.5,0.00%,40.00%,0:11:00,1,0
Dining,2,2,0.00%,25.00%,0:04:39,12,0
Dining Hall,2,3,0.00%,37.50%,0:02:47,0,1
Directory,2,2.5,50.00%,20.00%,0:01:27,0,0
Distinction History,2,1.5,50.00%,50.00%,0:00:06,0,1
Divestment,2,3.5,0.00%,28.57%,0:02:41,2,0
Dixon Bond,2,2,100.00%,0.00%,0:02:16,1,0
Don Klinefelter,2,1,50.00%,50.00%,0:00:04,0,1
Donald Cooper,2,2.5,50.00%,16.66%,0:00:35,0,1
Donald Cowling,2,2.5,0.00%,40.00%,0:01:21,0,0
Dorm Rooms,2,2,0.00%,66.66%,0:12:18,3.5,1
Douglas House,2,3.5,50.00%,14.29%,0:00:59,0.5,0
Duncan Stewart,2,4,50.00%,0.00%,0:04:23,4.5,0
Earth Week,2,2.5,0.00%,62.50%,0:02:27,0,1
Economics,2,4.5,100.00%,0.00%,0:01:04,0.5,0
Ed Buchwald,2,2,50.00%,66.66%,0:01:01,2,1
Education Curriculum Committee,2,6,0.00%,50.00%,0:03:45,1,1
