Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
boliou news,2,1.50,0.00%,33.33%,00:10:26,2.00
bonnie Scott,2,2.00,50.00%,25.00%,00:01:35,0.00
botany,2,1.50,0.00%,33.33%,00:00:40,0.50
brauer,2,6.00,50.00%,8.33%,00:08:47,0.00
break,2,1.50,0.00%,66.67%,00:03:43,0.00
breuer,2,1.50,0.00%,33.33%,00:00:50,0.50
broomball,2,1.50,0.00%,100.00%,00:00:27,0.00
bruce morrison,2,6.00,50.00%,8.33%,00:06:46,6.00
burton hall,2,4.50,0.00%,11.11%,00:07:24,5.50
Burton hall,2,2.50,0.00%,20.00%,00:00:52,0.50
Burton Hall,2,1.50,0.00%,66.67%,00:02:27,2.00
C.A.N.O.E.,2,2.00,0.00%,25.00%,00:00:49,3.50
cannon,2,3.00,50.00%,16.67%,00:00:34,0.00
CANOE,2,2.50,0.00%,40.00%,00:00:34,0.00
career,2,3.50,0.00%,42.86%,00:03:00,1.00
career center,2,1.50,0.00%,66.67%,00:06:20,0.00
carleton 1964,2,2.50,50.00%,40.00%,00:06:10,0.00
carleton athletics,2,1.00,0.00%,100.00%,00:00:25,0.00
carleton corporation minutes,2,1.50,0.00%,33.33%,00:10:52,2.00
carleton farm,2,9.00,50.00%,5.56%,00:02:23,3.50
carleton farm 1964,2,1.00,0.00%,100.00%,00:00:08,0.00
Carleton Student Musical Theater Organization,2,1.00,0.00%,100.00%,00:00:40,0.00
carleton voice,2,1.00,50.00%,50.00%,00:01:25,0.00
casey,2,1.00,100.00%,0.00%,00:00:00,0.00
castle rock,2,1.00,0.00%,100.00%,00:00:10,0.00
catalogs,2,2.50,100.00%,0.00%,00:00:10,0.00
centennial,2,4.50,100.00%,11.11%,00:03:37,0.00
Central Park,2,2.50,0.00%,20.00%,00:00:41,1.00
Chamber Singers,2,4.50,0.00%,22.22%,00:03:30,6.50
Chaplain Carolyn Fure-Slocum '82; Rev. Dojin Sarah Emerson '93; Rev. David Mertz '78; Kathy Dahl-Bredine '63 and Phil Dahl-Bredine '63; Choir Director,2,1.00,0.00%,100.00%,00:09:38,0.00
chaplain's office,2,5.00,50.00%,10.00%,00:15:31,3.50
charles goodsell,2,2.00,0.00%,50.00%,00:01:47,0.50
chemistry,2,1.00,50.00%,50.00%,00:00:21,0.00
chicken,2,1.00,0.00%,100.00%,00:03:18,5.00
china,2,3.00,100.00%,16.67%,00:00:40,0.00
China,2,3.50,50.00%,0.00%,00:00:46,0.50
christine lac,2,1.00,0.00%,100.00%,00:03:06,0.00
christmas utah,2,1.50,50.00%,0.00%,00:12:02,4.50
circle,2,2.00,0.00%,50.00%,00:03:55,0.50
"Class of '44 Panel: Mel Laird, et. al. Arena Theater",2,1.00,0.00%,100.00%,00:01:41,0.00
Class of '51 'Orbits; All 'Orbits': (a) files are labels for two sided duplication,2,1.00,0.00%,100.00%,00:03:41,0.00
"Class of '69 Panel: Maitland, Countryman, Jones Olin 137",2,1.00,0.00%,100.00%,00:08:52,0.00
class of 2013 profile,2,1.50,0.00%,100.00%,00:00:37,0.00
classical review,2,1.50,100.00%,0.00%,00:00:03,0.00
concert programs,2,1.50,50.00%,33.33%,00:00:13,0.00
Consultant on minority drug abuse Peter Bell,2,1.00,0.00%,100.00%,00:01:33,0.00
contributors,2,3.00,0.00%,83.33%,00:05:29,0.00
"Convocation Address by John Harrington, Saint Paul Chief of Police Carolyn Fure-Slocum, Chaplain; Robert A. Oden Jr., President; Shelby Boardman, Dean",2,1.50,0.00%,100.00%,00:19:49,0.00
CSA,2,3.00,100.00%,0.00%,00:00:36,0.00
Cuban-American medical doctor Rafael Campo,2,1.00,0.00%,100.00%,00:01:24,0.00
culver,2,10.00,100.00%,10.00%,00:15:36,1.00
Cycling,2,1.50,50.00%,33.33%,00:00:59,2.50
dance,2,5.00,50.00%,10.00%,00:01:32,3.00
dancing,2,4.50,50.00%,11.11%,00:00:51,2.50
data processing,2,1.50,0.00%,66.67%,00:01:04,0.50
diethelm,2,3.00,50.00%,16.67%,00:06:20,0.00
directory,2,2.00,0.00%,25.00%,00:04:06,2.00
divestment,2,9.50,50.00%,5.26%,00:06:12,2.00
doc evans,2,1.00,100.00%,0.00%,00:00:00,0.00
dope,2,2.00,0.00%,75.00%,00:00:48,0.00
dormitory,2,3.00,0.00%,33.33%,00:01:32,1.00
druid robe,2,3.00,50.00%,16.67%,00:08:53,0.00
dynamo,2,3.00,0.00%,33.33%,00:18:00,1.00
earth day,2,2.00,50.00%,50.00%,00:00:47,0.00
Eichman,2,3.50,50.00%,14.29%,00:14:27,0.00
eisenhower,2,3.50,0.00%,0.00%,00:02:28,2.50
elizabeth bissell,2,3.00,50.00%,16.67%,00:05:45,0.50
environment,2,2.00,0.00%,50.00%,00:00:47,1.00
"Eric Herr, President and COO of Autodesk, inc.",2,1.50,0.00%,100.00%,00:02:31,0.50
ernest ling,2,1.00,0.00%,100.00%,00:00:16,0.00
ernie ling,2,4.50,50.00%,11.11%,00:35:35,13.50
ethel ackerman,2,2.00,50.00%,25.00%,00:02:27,0.00
eugster,2,1.00,100.00%,0.00%,00:00:00,0.00
evaluating markets,2,1.00,0.00%,100.00%,00:00:17,0.00
events,2,3.00,0.00%,66.67%,00:36:56,6.00
exhibition,2,2.00,0.00%,50.00%,00:02:11,2.50
exner,2,3.00,0.00%,66.67%,00:16:48,1.50
expulsion,2,1.50,0.00%,100.00%,00:08:33,2.50
Facilities Management and Planning Office Records,2,2.00,50.00%,25.00%,00:01:42,0.00
faculty,2,2.00,0.00%,25.00%,00:00:55,4.00
faculty minutes,2,2.00,50.00%,25.00%,00:02:02,0.00
Farm,2,5.50,0.00%,27.27%,00:02:34,5.50
fountain,2,3.50,0.00%,14.29%,00:00:27,2.00
