"305438","158193","Originals or Copies Note","00:58:21||00:10:05||01:25:15||01:18:39||01:37:55||01:01:12||01:08:27||01:15:41||00:56:06||01:01:35||01:02:40","Least Diff: 00:00:23","Greatest Diff: 01:27:50","All close: No","< 20 sec diff: No","11","1: CD60 58:21; 2: CD60 10:05 (upcut); 3: CD90 1:25:15; 4: CD90 1:18:39; 5: CD60x2 1:37:55; AABox12; 6: CD90 1:01:12; 7: CD90 1:08:27; 8: CD90 1:15:41; 9: CD60 56:06; 10: EM 71/2ips; DM60 1:01:35; 11: CD90 1:02:40; AABox13; 10: EM; AAReelBox","13"
"305435","158193","Originals or Copies Note","00:42:53||01:11:00","Least Diff: 00:28:07","Greatest Diff: 00:28:07","All close: ---","< 20 sec diff: No","2","5: S-VHS Orig 5a: EM 42:53 11: S-VHS Orig; 1h 11m 96/7D","8"
"305424","158191","Originals or Copies Note","01:26:52||01:11:54||01:40:00","Least Diff: 00:13:08","Greatest Diff: 00:28:06","All close: No","< 20 sec diff: No","3","S-VHS orig 1h40m 1: VHSem 1:26:52 2: VHSem 1:11:54 97/8A","8"
"305418","158190","Originals or Copies Note","00:43:36||00:48:00","Least Diff: 00:04:24","Greatest Diff: 00:04:24","All close: ---","< 20 sec diff: No","2","S-VHS orig 48m VHS EM 43:36 97/8A","8"
"305412","158189","Originals or Copies Note","01:14:08||01:33:50||01:10:00||01:50:00","Least Diff: 00:04:08","Greatest Diff: 00:40:00","All close: No","< 20 sec diff: No","4","1: S-VHS orig 1hr 10min; VHSem 1:14:08; 2: S:VHS orig; 1hr 50min; VHS em 1:33:50 97/8A","8"
"305388","158185","Originals or Copies Note","00:53:18||00:54:00","Least Diff: 00:00:42","Greatest Diff: 00:00:42","All close: ---","< 20 sec diff: No","2","S-VHS orig 54 min; VHSem 53:18; 97/8A","8"
"305371","158182","Originals or Copies Note","01:03:10||01:04:00","Least Diff: 00:00:50","Greatest Diff: 00:00:50","All close: ---","< 20 sec diff: No","2","S-VHS Orig 1h 4m VHSem 1:03:10 97/8A","8"
"305330","158174","Originals or Copies Note","00:59:11||01:00:00||00:59:00","Least Diff: 00:00:11","Greatest Diff: 00:01:00","All close: No","< 20 sec diff: No","3","S-VHS Orig 59m 1: VHS EM 59:11 2: C-SPAN Broadcast 1 hr 97/8B","8"
"305318","158172","Originals or Copies Note","01:04:55||01:06:00","Least Diff: 00:01:05","Greatest Diff: 00:01:05","All close: ---","< 20 sec diff: No","2","S-VHS orig 1h 6m VHSem 1:04:55 97/8B","8"
"305312","158171","Originals or Copies Note","01:03:40||00:40:45||01:06:00","Least Diff: 00:02:20","Greatest Diff: 00:25:15","All close: No","< 20 sec diff: No","3","S-VHS Orig 1h 6m 1: VHSem 1:03:40 2: VHSem 40:45 97/8B","8"
"305306","158170","Originals or Copies Note","01:00:51||01:07:00","Least Diff: 00:06:09","Greatest Diff: 00:06:09","All close: ---","< 20 sec diff: No","2","S-VHS orig 1h 7m VHSem 1:00:51 97/8B","8"
