"305567","158216","Originals or Copies Note","01:06:36","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:06:36 AABox11","13"
"305560","158215","Originals or Copies Note","01:22:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","VHS orig 1h 22m 96.7C","8"
"305557","158214","Originals or Copies Note","01:01:10","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:01:10 AABox11","13"
"305554","158214","Originals or Copies Note","01:02:00","Least Diff: 00:00:19","Greatest Diff: 00:00:19","All close: ---","< 20 sec diff: Yes","1","1: S-VHS orig 1h 2m; VHS em 1:01:41 2: 1 hr 96/7C","8"
"305551","158213","Originals or Copies Note","01:05:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:05:00 AABox12","13"
"305548","158213","Originals or Copies Note","01:05:15","Least Diff: 00:00:15","Greatest Diff: 00:00:15","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 1h 5m VHS em 1:05:15 96/7C","8"
"305545","158212","Originals or Copies Note","01:00:40","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD 90 1:00:40 AABox1","13"
"305542","158212","Originals or Copies Note","01:02:06","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","S-VHS Orig VHS em 1:02:06 96/7C","8"
"305837","158265","Originals or Copies Note","01:07:50","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:07:50 AABox09","13"
"305539","158211","Originals or Copies Note","01:11:03","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90: 1:11:03 AABox12","13"
"305534","158210","Originals or Copies Note","00:48:55","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","1: CD 60 48:55 AABox12","13"
"305528","158209","Originals or Copies Note","00:53:15","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 53:15 AABox12","13"
"305526","158209","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","S-VHS Orig VHS em times??? 96/7C","8"
"305831","158264","Originals or Copies Note","00:45:59","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 45:59 AABox09","13"
"305523","158208","Originals or Copies Note","00:58:26","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 58:26 AABox12","13"
"305521","158208","Originals or Copies Note","01:00:01","Least Diff: 00:00:01","Greatest Diff: 00:00:01","All close: ---","< 20 sec diff: Yes","1","S-VHS orig 1 hr VHS em 1:00:01 96/7C","8"
"305518","158207","Originals or Copies Note","00:54:03","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 54:03 AABox12","13"
"305509","158206","Originals or Copies Note","01:00:51","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","1: S-VHS orig 2 pts; w/audio fix on VHS EM 1:00:51 96/7Cc","8"
"305504","158205","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","S-VHS orig 96/7C","8"
"305500","158204","Originals or Copies Note","00:56:40","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 56:40 AABox12","13"
"305497","158204","Originals or Copies Note","00:57:00","Least Diff: 00:00:10","Greatest Diff: 00:00:10","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 57min VHS EM 56:50 96/7D","8"
"305494","158203","Originals or Copies Note","00:48:22","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 48:22 AABox12","13"
"305488","158202","Originals or Copies Note","01:11:19","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:11:19 AABox12","13"
"305483","158201","Originals or Copies Note","00:56:40","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 56:40 AABox12","13"
"305480","158201","Originals or Copies Note","00:57:11","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","S-VHS Orig 57 Min VHS EM 57:11 96/7D","8"
"305477","158200","Originals or Copies Note","01:32:32","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60x2 1:32:32 AABox12","13"
