# ----------------------------------------
"# Carleton College Archives, filtered"
# Search Terms
# 20150620-20160620
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
Leighton Hall,2,4.50,0.00%,22.22%,00:21:56,6.00
lgbc,2,3.50,0.00%,28.57%,00:16:36,1.00
LGBT,2,1.50,0.00%,66.67%,00:01:25,0.50
library addition,2,1.50,50.00%,33.33%,00:00:09,0.00
ltc,2,1.00,0.00%,100.00%,00:02:32,0.00
LTc,2,1.50,100.00%,0.00%,00:00:08,0.50
lyman,2,2.50,50.00%,20.00%,00:00:15,0.00
Lyman Lakes,2,1.00,0.00%,50.00%,00:00:13,1.00
Lyman Sperry,2,1.50,50.00%,33.33%,00:02:40,0.00
madrigal,2,2.00,0.00%,0.00%,00:05:14,1.50
magnetic tape,2,2.00,0.00%,25.00%,00:03:05,1.50
maitland,2,2.50,50.00%,20.00%,00:00:19,0.50
manuscript,2,1.00,0.00%,100.00%,00:01:22,0.00
margaret evans,2,1.00,0.00%,50.00%,00:01:03,2.50
margaret thompson,2,1.00,0.00%,100.00%,00:00:21,0.00
margaret thomson,2,1.50,0.00%,33.33%,00:00:40,2.00
martha donaldson,2,2.50,0.00%,0.00%,00:04:14,3.00
master plan,2,3.00,50.00%,16.67%,00:00:29,0.00
May Fete,2,20.00,100.00%,0.00%,00:11:21,8.00
Medley,2,1.50,100.00%,0.00%,00:00:10,0.00
men tennis,2,5.50,100.00%,0.00%,00:02:28,0.50
Men's Golf,2,5.50,50.00%,9.09%,00:02:19,2.50
metric football,2,2.50,0.00%,60.00%,00:02:43,0.50
mid winter ball,2,5.50,0.00%,27.27%,00:01:31,3.00
midwinter ball,2,8.50,0.00%,5.88%,00:01:06,6.50
Minnesota Regional Network,2,1.00,0.00%,100.00%,00:00:04,0.00
missionary,2,2.50,0.00%,0.00%,00:02:57,4.50
morgan fellows,2,1.00,0.00%,100.00%,00:00:08,0.00
morgan major,2,1.50,50.00%,33.33%,00:00:22,0.00
motto,2,1.00,50.00%,50.00%,00:00:08,0.00
mp4,2,1.00,0.00%,100.00%,00:01:45,6.50
mug shots,2,2.00,0.00%,25.00%,00:01:01,1.00
myers,2,5.00,50.00%,10.00%,00:10:49,4.50
myra brown,2,2.00,50.00%,50.00%,00:00:11,0.00
Nason,2,5.00,50.00%,10.00%,00:04:46,3.00
news press,2,3.00,100.00%,0.00%,00:00:19,0.00
news releases,2,2.00,100.00%,0.00%,00:00:06,0.00
noon news bulletin,2,1.50,0.00%,66.67%,00:00:31,0.00
northfield bridge,2,1.00,0.00%,50.00%,00:00:48,0.50
nourse hall,2,5.50,0.00%,9.09%,00:06:17,3.50
observatory,2,3.50,0.00%,28.57%,00:12:11,2.00
ocs,2,3.50,0.00%,28.57%,00:01:58,0.50
off-campus studies,2,2.00,50.00%,25.00%,00:00:23,0.00
Off-campus studies collection,2,1.50,100.00%,0.00%,00:00:03,0.00
old observatory,2,4.50,50.00%,0.00%,00:00:34,1.50
olin,2,4.50,0.00%,0.00%,00:01:02,3.00
Opening convocation,2,1.00,0.00%,100.00%,00:01:26,0.00
orchestra,2,1.00,50.00%,50.00%,00:06:10,0.00
pancake hall,2,8.50,50.00%,0.00%,00:21:59,5.50
party,2,6.00,0.00%,16.67%,00:06:40,4.50
pat lam,2,2.00,0.00%,50.00%,00:06:48,0.00
patricia lamb,2,3.00,0.00%,33.33%,00:03:43,0.00
pau,2,1.50,0.00%,66.67%,00:00:39,0.00
paul wellstone,2,3.50,0.00%,14.29%,00:03:02,4.50
PEAR Department Review,2,7.00,0.00%,14.29%,00:06:32,0.00
phenix,2,7.00,0.00%,21.43%,00:13:22,9.50
philip phenix,2,2.00,100.00%,0.00%,00:00:38,0.00
philosophy,2,5.50,0.00%,0.00%,00:02:04,9.50
pine hill village,2,6.00,50.00%,8.33%,00:03:51,0.00
polio,2,1.50,50.00%,0.00%,00:00:10,0.50
political freshmen,2,1.50,100.00%,0.00%,00:00:03,0.00
postage stamp prairie,2,2.00,0.00%,50.00%,00:04:12,20.50
poster,2,8.00,50.00%,6.25%,00:02:21,1.00
president's office,2,4.50,0.00%,22.22%,00:04:16,3.00
promotional video,2,6.00,0.00%,0.00%,00:24:51,6.00
raka mitra,2,3.00,100.00%,0.00%,00:00:16,0.00
red tie,2,1.50,0.00%,66.67%,00:11:22,0.00
religion,2,2.00,0.00%,25.00%,00:05:22,1.50
Residential Life,2,13.00,50.00%,0.00%,00:06:12,1.00
rockefeller,2,3.00,100.00%,0.00%,00:00:25,0.00
romeo,2,2.50,0.00%,40.00%,00:10:02,5.00
rules,2,3.00,50.00%,16.67%,00:01:46,0.00
sallmon,2,1.50,0.00%,66.67%,00:00:33,1.00
Sayles-Hill,2,6.00,50.00%,0.00%,00:00:45,3.00
science,2,9.50,50.00%,5.26%,00:06:01,7.50
sculpture,2,3.00,50.00%,16.67%,00:00:46,3.00
seal,2,7.00,0.00%,7.14%,00:04:10,0.50
seccomb,2,14.00,0.00%,10.71%,00:05:41,2.50
Ser. R1,2,2.50,50.00%,20.00%,00:01:56,0.00
shigemura,2,2.50,50.00%,20.00%,00:01:13,1.00
skiing,2,4.00,0.00%,12.50%,00:03:56,3.00
skis,2,1.00,0.00%,100.00%,00:01:20,0.00
social events,2,1.50,50.00%,33.33%,00:04:30,0.50
soldiers,2,2.50,0.00%,40.00%,00:00:21,0.50
sovik,2,1.00,50.00%,50.00%,00:00:31,1.00
special events,2,1.50,0.00%,66.67%,00:02:03,1.50
spring concert,2,6.50,0.00%,15.38%,00:00:52,2.00
Stork,2,41.50,50.00%,2.41%,00:06:36,8.00
stork retire,2,3.00,50.00%,33.33%,00:04:54,1.00
student employment,2,4.00,0.00%,25.00%,00:02:13,0.00
student majors,2,1.50,50.00%,33.33%,00:00:16,0.00
teaching assistant,2,3.50,0.00%,28.57%,00:09:05,0.00
technology,2,8.00,0.00%,25.00%,00:03:39,4.00
tenure review,2,20.00,50.00%,7.50%,00:04:09,1.00
test,2,1.50,50.00%,0.00%,00:03:20,1.00
theat,2,11.50,50.00%,0.00%,00:30:32,34.50
Theater,2,9.50,0.00%,5.26%,00:04:54,9.00
tim vick,2,2.00,50.00%,25.00%,00:08:09,0.00
toff,2,2.50,0.00%,40.00%,00:00:43,0.00
transcript,2,2.50,50.00%,0.00%,00:00:17,0.50
treasurer's office,2,2.00,50.00%,25.00%,00:00:34,0.00
trivia,2,1.00,0.00%,100.00%,00:00:53,0.00
tuomi,2,4.00,0.00%,12.50%,00:05:04,2.00
vick,2,1.00,0.00%,100.00%,00:00:10,0.00
vietnam,2,2.50,0.00%,40.00%,00:00:14,0.50
view of carleton,2,3.00,0.00%,0.00%,00:01:09,4.00
violette browne,2,1.00,50.00%,50.00%,00:07:42,0.00
war,2,3.50,0.00%,42.86%,00:02:47,1.50
watson,2,2.50,0.00%,20.00%,00:00:38,1.50
Watson house,2,5.00,0.00%,20.00%,00:02:21,1.50
whittemore,2,1.50,0.00%,66.67%,00:05:57,0.50
winter,2,11.50,0.00%,8.70%,00:19:10,6.50
women athletics,2,1.50,0.00%,66.67%,00:02:01,7.00
women's basketbal,2,5.00,50.00%,10.00%,00:01:43,2.00
world war,2,2.00,0.00%,50.00%,00:01:32,0.00
zoo book,2,11.00,0.00%,9.09%,00:01:32,0.00
"""alex haley""",1,4.00,0.00%,0.00%,00:00:50,1.00
"""calendar discussion""",1,6.00,100.00%,0.00%,00:14:45,0.00
"""Cambridge """,1,3.00,0.00%,33.33%,00:01:23,0.00
"""Cambridge Economics Program""",1,1.00,0.00%,100.00%,00:00:06,0.00
"""Cambridge OCS""",1,3.00,100.00%,66.67%,00:01:15,0.00
"""Cambridge Program""",1,1.00,0.00%,100.00%,00:00:06,0.00
"""Canoe Club""",1,1.00,0.00%,100.00%,00:28:54,0.00
"""Canoe House""",1,3.00,0.00%,33.33%,00:05:14,1.00
"""Carleton Corporation""",1,1.00,0.00%,0.00%,00:00:33,1.00
"""carleton forest""",1,1.00,0.00%,100.00%,00:28:14,0.00
