"305412","158189","Originals or Copies Note","4","1:14:08||1:33:50||1hr 10min||1hr 50min","1: S-VHS orig 1hr 10min; VHSem 1:14:08; 2: S:VHS orig; 1hr 50min; VHS em 1:33:50 97/8A","8"
"305394","158186","Originals or Copies Note","2","54:56|| 55 min","S-VHS orig 55 min; VHSem 54:56; 97/8A","8"
"305391","158185","Originals or Copies Note","1","52:39","CD60 52:39 AABox13","13"
"305388","158185","Originals or Copies Note","2","53:18|| 54 min","S-VHS orig 54 min; VHSem 53:18; 97/8A","8"
"305368","158181","Originals or Copies Note","0","","(No audio production)","13"
"305371","158182","Originals or Copies Note","2","1:03:10||1h 4m","S-VHS Orig 1h 4m VHSem 1:03:10 97/8A","8"
"305374","158182","Originals or Copies Note","1","1:02:53","CD90 1:02:53 AABox13","13"
"305377","158183","Originals or Copies Note","2","56:42|| 57 min","S-VHS Orig 57 min; VHSem 56:42; 97/8A","8"
"305380","158183","Originals or Copies Note","1","56:41","CD60 56:41 AABox13","13"
"305385","158184","Originals or Copies Note","1","1:14:24","CD90 1:14:24 AABox13","13"
"305409","158188","Originals or Copies Note","1","1:06:20","CD90 1:06:20 AABox13","13"
"305333","158174","Originals or Copies Note","1","58:50","1: CD60 58:50 AABox13","13"
"305330","158174","Originals or Copies Note","3","59:11|| 1 hr|| 59m","S-VHS Orig 59m 1: VHS EM 59:11 2: C-SPAN Broadcast 1 hr 97/8B","8"
"305327","158173","Originals or Copies Note","1","53:48","CD60 53:48 AABox13","13"
"305324","158173","Originals or Copies Note","2","54:12|| 54 min","S-VHS Orig 54 min VHS EM 54:12 97/8B","8"
"305321","158172","Originals or Copies Note","1","1:04:30","CD90 1:04:30 AABox13","13"
"305318","158172","Originals or Copies Note","2","1:04:55||1h 6m","S-VHS orig 1h 6m VHSem 1:04:55 97/8B","8"
"305315","158171","Originals or Copies Note","1","1:06:40","CD90 1:06:40 AABox13","13"
"305312","158171","Originals or Copies Note","3","1:03:40||40:45||1h 6m","S-VHS Orig 1h 6m 1: VHSem 1:03:40 2: VHSem 40:45 97/8B","8"
"305309","158170","Originals or Copies Note","1","1:07:16","CD90 1:07:16 AABox13","13"
