"305494","158203","Originals or Copies Note","CD60 48:22 AABox12","13"
"305488","158202","Originals or Copies Note","CD90 1:11:19 AABox12","13"
"305483","158201","Originals or Copies Note","CD60 56:40 AABox12","13"
"305480","158201","Originals or Copies Note","S-VHS Orig 57 Min VHS EM 57:11 96/7D","8"
"305477","158200","Originals or Copies Note","CD60x2 1:32:32 AABox12","13"
"305471","158199","Originals or Copies Note","CD60 57:38 AABox12","13"
"305468","158199","Originals or Copies Note","S-VHS orig 58min VHS EM 57:27 96/7D","8"
"305464","158198","Originals or Copies Note","CD90 1:00:25 AABox12","13"
"305462","158198","Originals or Copies Note","S-VHS orig 1hr 1m VHS em 1:00:35 96/7D","8"
"305458","158197","Originals or Copies Note","VHS orig 18min; VHS em 16:55; 96/7D","8"
"305455","158196","Originals or Copies Note","1: CD90 1:05:48 2: CD60 25:33 AABox12","13"
"305452","158196","Originals or Copies Note","S-VHS orig 1h 6m 1: VHS EM 25:47 96/7D","8"
"305449","158195","Originals or Copies Note","CD90 1:15:55 AABox12","13"
"305444","158194","Originals or Copies Note","1: CD90 1:20:21 AABox12","13"
"305441","158194","Originals or Copies Note","S-VHS Orig 1h 53m 96/7D","8"
"305438","158193","Originals or Copies Note","1: CD60 58:21; 2: CD60 10:05 (upcut); 3: CD90 1:25:15; 4: CD90 1:18:39; 5: CD60x2 1:37:55; AABox12; 6: CD90 1:01:12; 7: CD90 1:08:27; 8: CD90 1:15:41; 9: CD60 56:06; 10: EM 71/2ips; DM60 1:01:35; 11: CD90 1:02:40; AABox13; 10: EM; AAReelBox","13"
"305435","158193","Originals or Copies Note","5: S-VHS Orig 5a: EM 42:53 11: S-VHS Orig; 1h 11m 96/7D","8"
"305430","158192","Originals or Copies Note","VHS em -- 25:17 96/7D","8"
"305427","158191","Originals or Copies Note","1: CD 60 dolby stereo 51:55 AABox13","13"
"305424","158191","Originals or Copies Note","S-VHS orig 1h40m 1: VHSem 1:26:52 2: VHSem 1:11:54 97/8A","8"
"305421","158190","Originals or Copies Note","CD60 47:09 AABox13","13"
"305418","158190","Originals or Copies Note","S-VHS orig 48m VHS EM 43:36 97/8A","8"
"305415","158189","Originals or Copies Note","(WCAL Recordings at Music Dept)","13"
"305412","158189","Originals or Copies Note","1: S-VHS orig 1hr 10min; VHSem 1:14:08; 2: S:VHS orig; 1hr 50min; VHS em 1:33:50 97/8A","8"
"305394","158186","Originals or Copies Note","S-VHS orig 55 min; VHSem 54:56; 97/8A","8"
"305391","158185","Originals or Copies Note","CD60 52:39 AABox13","13"
"305388","158185","Originals or Copies Note","S-VHS orig 54 min; VHSem 53:18; 97/8A","8"
"305368","158181","Originals or Copies Note","(No audio production)","13"
"305371","158182","Originals or Copies Note","S-VHS Orig 1h 4m VHSem 1:03:10 97/8A","8"
